"","site","id","title","Debut","Fin","localisation","prix","nombreNuits","nombreAvis","notes","images"
"0","expedia","New York","The Langham, New York, Fifth Avenue","©","14-02-2021","Midtown East","1914","6 nuits","1003","9.4","https://images.trvl-media.com/hotels/4000000/3630000/3630000/3629903/203e075e.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
"1","expedia","New York","1 Hotel Central Park","08-02-2021","14-02-2021","Centre-ville de New York City","1617","6 nuits","1014","9.2","https://images.trvl-media.com/hotels/10000000/9220000/9215600/9215515/3d65351f.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
"2","expedia","New York","The Beekman, A Thompson Hotel","08-02-2021","14-02-2021","New York","1410","6 nuits","724","9.2","https://images.trvl-media.com/hotels/13000000/12080000/12078200/12078123/39995998.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
"3","expedia","New York","Baccarat Hotel and Residences New York","08-02-2021","14-02-2021","Centre-ville de New York City","2741","6 nuits","225","9.2","https://exp.cdn-hotels.com/hotels/10000000/9760000/9759700/9759603/e5631987_z.jpg"
"4","expedia","New York","The Pierre, A Taj Hotel, New York","08-02-2021","14-02-2021","Lenox Hill","2690","6 nuits","985","9.4","https://exp.cdn-hotels.com/hotels/1000000/30000/20300/20213/98409720_z.jpg"
"5","expedia","New York","Mr. C Seaport","08-02-2021","14-02-2021","New York","1608","6 nuits","185","9.0","https://q-xx.bstatic.com/images/hotel/max1024x768/182/182770951.jpg"
"6","expedia","New York","Trump International Hotel & Tower New York","08-02-2021","14-02-2021","New York","3089","6 nuits","994","9.2","https://exp.cdn-hotels.com/hotels/1000000/50000/40400/40338/5c91c36a_z.jpg"
"7","expedia","New York","The Lowell","08-02-2021","14-02-2021","Upper East Side","3608","6 nuits","138","9.4","https://exp.cdn-hotels.com/hotels/1000000/10000/3300/3253/267c2dc4_z.jpg"
"8","expedia","New York","The NoMad Hotel","08-02-2021","14-02-2021","New York","1712","6 nuits","682","9.2","https://exp.cdn-hotels.com/hotels/5000000/4760000/4758700/4758665/4f5e1828_z.jpg"
"9","expedia","New York","The Mark","08-02-2021","14-02-2021","Lenox Hill","3695","6 nuits","581","9.6","https://exp.cdn-hotels.com/hotels/1000000/20000/19800/19712/5731b73a_z.jpg"
"10","expedia","New York","Four Seasons Hotel New York Downtown","08-02-2021","14-02-2021","New York","2975","6 nuits","245","9.6","https://exp.cdn-hotels.com/hotels/16000000/15440000/15438500/15438428/978b2ac7_z.jpg"
"11","expedia","New York","The Towers at Lotte New York Palace","08-02-2021","14-02-2021","Midtown East","3557","6 nuits","405","9.2","https://exp.cdn-hotels.com/hotels/5000000/4200000/4195300/4195208/a99c5e1a_z.jpg"
"12","expedia","New York","The Carlyle, A Rosewood Hotel","08-02-2021","14-02-2021","Lenox Hill","3353","6 nuits","608","9.2","https://www.hospitalitynet.org/picture/xxl_153112335.jpg?t=20200227095511"
"13","expedia","New York","Equinox Hotel New York","08-02-2021","14-02-2021","New York","4406","6 nuits","93","9.2","https://cf.bstatic.com/images/hotel/max1024x768/217/217847929.jpg"
"14","expedia","New York","Conrad New York Downtown","08-02-2021","14-02-2021","New York","1703","6 nuits","1003","9.4","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/5d/65/b6/exterior.jpg?w=900&h=-1&s=1"
"15","expedia","New York","1 Hotel Brooklyn Bridge","08-02-2021","14-02-2021","Brooklyn","1770","6 nuits","905","9.0","https://www.printempsvoyages.com/assets/img/site/108/uploads/Magazine/Pause_Urbaine/New_York/1hotel_1.jpg"
"16","expedia","Tokyo","Park Hyatt Tokyo","01-02-2021","07-02-2021","Tokyo","2905","6 nuits","778","9.6","https://images.trvl-media.com/hotels/1000000/970000/970000/969939/be750274.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
"17","expedia","Tokyo","Mandarin Oriental Tokyo","01-02-2021","07-02-2021","Tokyo","2098","6 nuits","216","9.4","https://images.trvl-media.com/hotels/2000000/1350000/1340800/1340774/1cac373c.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
"18","expedia","Tokyo","The Peninsula Tokyo","01-02-2021","07-02-2021","Tokyo","1967","6 nuits","751","9.4","https://images.trvl-media.com/hotels/2000000/1640000/1631500/1631412/becd19fb.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
"19","expedia","New York","The Langham, New York, Fifth Avenue","01-02-2021","07-02-2021","Midtown East","1914","6 nuits","1003","9.4","https://images.trvl-media.com/hotels/4000000/3630000/3630000/3629903/203e075e.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
"20","expedia","Tokyo","Shangri-La Hotel, Tokyo","01-02-2021","07-02-2021","Tokyo","2179","6 nuits","418","9.4","https://images.trvl-media.com/hotels/3000000/2440000/2434400/2434355/d5e1b033.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
"21","expedia","Tokyo","Andaz Tokyo Toranomon Hills - a concept by Hyatt","01-02-2021","07-02-2021","Tokyo","2109","6 nuits","404","9.4","https://exp.cdn-hotels.com/hotels/8000000/7480000/7473600/7473589/8418a68f_z.jpg"
"22","expedia","New York","1 Hotel Central Park","01-02-2021","07-02-2021","Centre-ville de New York City","1391","6 nuits","1014","9.2","https://images.trvl-media.com/hotels/10000000/9220000/9215600/9215515/3d65351f.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
"23","expedia","New York","The Beekman, A Thompson Hotel","01-02-2021","07-02-2021","New York","1410","6 nuits","724","9.2","https://images.trvl-media.com/hotels/13000000/12080000/12078200/12078123/39995998.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
"24","expedia","Tokyo","Hotel Chinzanso Tokyo","01-02-2021","07-02-2021","Tokyo","1737","6 nuits","1009","9.6","https://secure.s.forbestravelguide.com/img/properties/hotel-chinzanso-tokyo/hotel-chinzanso-tokyo-exterior.jpg"
"25","expedia","Tokyo","Conrad Tokyo","01-02-2021","07-02-2021","Tokyo","1580","6 nuits","640","9.4","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/5d/65/b6/exterior.jpg?w=900&h=-1&s=1"
"26","expedia","New York","Mr. C Seaport","01-02-2021","07-02-2021","New York","1665","6 nuits","185","9.0","https://q-xx.bstatic.com/images/hotel/max1024x768/182/182770951.jpg"
"27","expedia","New York","Baccarat Hotel and Residences New York","01-02-2021","07-02-2021","Centre-ville de New York City","2741","6 nuits","225","9.2","https://exp.cdn-hotels.com/hotels/10000000/9760000/9759700/9759603/e5631987_z.jpg"
"28","expedia","Tokyo","The Westin Tokyo","01-02-2021","07-02-2021","Ebisu","1675","6 nuits","723","9.0","https://d1rioy1v9s51jr.cloudfront.net/pics/2608/900x540/the-westin-tokyo-2_836.jpg"
"29","expedia","Tokyo","Grand Hyatt Tokyo","01-02-2021","07-02-2021","Tokyo","1997","6 nuits","584","9.2","https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2017/06/15/0845/Grand-Hyatt-Tokyo-P768-Presidential-Suite-Bedroom.jpg/Grand-Hyatt-Tokyo-P768-Presidential-Suite-Bedroom.16x9.jpg?imwidth=1920"
"30","expedia","New York","The NoMad Hotel","01-02-2021","07-02-2021","New York","1734","6 nuits","682","9.2","https://exp.cdn-hotels.com/hotels/5000000/4760000/4758700/4758665/4f5e1828_z.jpg"
"31","expedia","New York","The Pierre, A Taj Hotel, New York","01-02-2021","07-02-2021","Lenox Hill","2690","6 nuits","985","9.4","https://exp.cdn-hotels.com/hotels/1000000/30000/20300/20213/98409720_z.jpg"
"32","expedia","Tokyo","The Capitol Hotel Tokyu","01-02-2021","07-02-2021","Tokyo","2111","6 nuits","1004","9.6","https://exp.cdn-hotels.com/hotels/1000000/20000/13600/13577/7e722637_z.jpg"
"33","expedia","Tokyo","Palace Hotel Tokyo","01-02-2021","07-02-2021","Tokyo","2943","6 nuits","833","9.6","https://exp.cdn-hotels.com/hotels/1000000/420000/416500/416454/4bc6d6c5_z.jpg"
"34","expedia","New York","Four Seasons Hotel New York Downtown","01-02-2021","07-02-2021","New York","2687","6 nuits","245","9.6","https://exp.cdn-hotels.com/hotels/16000000/15440000/15438500/15438428/978b2ac7_z.jpg"
"35","expedia","New York","Trump International Hotel & Tower New York","01-02-2021","07-02-2021","New York","3089","6 nuits","994","9.2","https://exp.cdn-hotels.com/hotels/1000000/50000/40400/40338/5c91c36a_z.jpg"
"36","expedia","Tokyo","Kimpton Shinjuku Tokyo","01-02-2021","07-02-2021","Tokyo","2069","6 nuits","3","9.4","https://exp.cdn-hotels.com/hotels/43000000/42610000/42600600/42600519/5e108a21_z.jpg"
"37","expedia","Tokyo","Imperial Hotel","01-02-2021","07-02-2021","Tokyo","2258","6 nuits","1001","9.4","https://static-new.lhw.com/HotelImages/Final/LW1822/lw1822_97033647_720x450.jpg"
"38","expedia","New York","The Lowell","01-02-2021","07-02-2021","Upper East Side","3608","6 nuits","138","9.4","https://exp.cdn-hotels.com/hotels/1000000/10000/3300/3253/267c2dc4_z.jpg"
"39","expedia","New York","The Towers at Lotte New York Palace","01-02-2021","07-02-2021","Midtown East","3410","6 nuits","405","9.2","https://exp.cdn-hotels.com/hotels/5000000/4200000/4195300/4195208/a99c5e1a_z.jpg"
"40","expedia","Tokyo","The Prince Park Tower Tokyo","01-02-2021","07-02-2021","Tokyo","1399","6 nuits","1003","9.2","https://thumbnails.trvl-media.com/abpsJjNcSqkbLOkmBx4Z0mih9aU=/773x530/smart/filters:quality(60)/images.trvl-media.com/hotels/1000000/20000/13300/13278/58751797_z.jpg"
"41","expedia","Tokyo","Four Seasons Hotel Tokyo at Marunouchi","01-02-2021","07-02-2021","Tokyo","3704","6 nuits","329","9.4","https://www.rw-luxuryhotels.com/wp-content/uploads/2015/12/Four_Seasons_Tokyo_RW_Luxury_Hotels__Resorts_9-1200x482.jpg"
"42","expedia","New York","The Mark","01-02-2021","07-02-2021","Lenox Hill","3695","6 nuits","581","9.6","https://exp.cdn-hotels.com/hotels/1000000/20000/19800/19712/5731b73a_z.jpg"
"43","expedia","New York","The Carlyle, A Rosewood Hotel","01-02-2021","07-02-2021","Lenox Hill","3353","6 nuits","608","9.2","https://www.hospitalitynet.org/picture/xxl_153112335.jpg?t=20200227095511"
"44","expedia","Tokyo","Four Seasons Hotel Tokyo at Otemachi","01-02-2021","07-02-2021","Tokyo","2310","6 nuits","7","9.4","https://www.hnworth.com/wp-content/uploads/2020/08/Jean-Michel-Gathy-Completes-the-Four-Seasons-Hotel-Tokyo-Hero-1-wpcf_1400x1000.jpg"
"45","expedia","Tokyo","The Okura Tokyo","01-02-2021","07-02-2021","Tokyo","2742","6 nuits","70","9.0","https://exp.cdn-hotels.com/hotels/34000000/33340000/33333700/33333699/d7481f24_z.jpg"
"46","expedia","New York","Conrad New York Downtown","01-02-2021","07-02-2021","New York","1831","6 nuits","1003","9.4","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/5d/65/b6/exterior.jpg?w=900&h=-1&s=1"
"47","expedia","New York","Equinox Hotel New York","01-02-2021","07-02-2021","New York","4406","6 nuits","93","9.2","https://cf.bstatic.com/images/hotel/max1024x768/217/217847929.jpg"
"48","expedia","New York","1 Hotel Brooklyn Bridge","01-02-2021","07-02-2021","Brooklyn","1548","6 nuits","905","9.0","https://www.printempsvoyages.com/assets/img/site/108/uploads/Magazine/Pause_Urbaine/New_York/1hotel_1.jpg"
"49","expedia","Los Angeles","Fairmont Miramar Hotel & Bungalows","08-02-2021","14-02-2021","Santa Monica","1951","6 nuits","1","8.4","https://images.trvl-media.com/hotels/1000000/430000/423500/423484/9daeb128.jpg?impolicy=fcrop&w=455&h=235&p=1&q=medium,,"
