site,id,title,dateArrive,dateDepart,localisation,prix,prixbis,avis,nombreNuits,notes,images
hotels.com,"New York","The Langham, New York, Fifth Avenue",01/02/2021,07/02/2021,Midtown,1 914 €,,552 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York","The Langham, New York, Fifth Avenue",22/02/2021,28/02/2021,Midtown,1 914 €,,552 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York",Trump International Hotel & Tower New York,01/02/2021,07/02/2021,59e Rue,3 089 €,,510 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York","The Pierre, A Taj Hotel, New York",01/02/2021,07/02/2021,59e Rue,2 690 €,,324 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York",The NoMad Hotel,22/02/2021,28/02/2021,NoMad,1 830 €,,350 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York",Trump International Hotel & Tower New York,22/02/2021,28/02/2021,59e Rue,3 089 €,,510 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York",The Mark,01/02/2021,07/02/2021,Uptown,,3 695 €,172 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York","The Langham, New York, Fifth Avenue",01/02/2021,07/02/2021,Midtown,1 914 €,,552 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Dubaï",Jumeirah Zabeel Saray,15/02/2021,21/02/2021,Palm Jumeirah,1 817 €,,685 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Dubaï",Address Downtown,22/02/2021,28/02/2021,Downtown Dubaï,2 145 €,,107 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
